id,name,price,date,available,room_type,accommodates,bedrooms,beds,amenities,latitude,longitude,property_type,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",115.0,2023-03-19,f,Entire home/apt,3,1.0,1.0,"[""Shampoo"", ""Coffee"", ""Private backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Cleaning products"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Clothing storage: closet and dresser"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Refrigerator"", ""Shower gel"", ""Stove"", ""Free dryer \u2013 In unit"", ""Children\u2019s books and toys"", ""Body soap"", ""Carbon monoxide alarm"", ""Conditioner"", ""Blender"", ""Hangers"", ""Fast wifi \u2013 243 Mbps"", ""Central air conditioning"", ""Microwave"", ""Long term stays allowed"", ""Central heating"", ""Hot water"", ""Toaster"", ""Bathtub"", ""TV with Netflix, Roku"", ""Kitchen"", ""Wine glasses"", ""First aid kit"", ""Self check-in"", ""Lockbox"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Babysitter recommendations"", ""Smoke alarm"", ""Baking sheet"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""Dishwasher"", ""Single level home"", ""Bed linens"", ""Iron""]",35.60182,-82.56174,Entire guest suite,478398,2011-04-02,"Asheville, NC",within an hour,100%,100%,2,30,364,4.9,2.77,3,3,0,0
4394761,"Bohemian Retreat: Clean, Deck, Near Downtown!",78.0,2023-03-19,t,Entire home/apt,3,1.0,1.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""High chair"", ""Pets allowed"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""TV"", ""Wifi"", ""Carbon monoxide alarm"", ""Hangers"", ""Microwave"", ""Patio or balcony"", ""Hot water"", ""Kitchen"", ""Smoke alarm"", ""Backyard"", ""Heating"", ""Air conditioning"", ""Iron""]",35.61244,-82.55724,Entire rental unit,20447538,2014-08-23,"Asheville, NC",within an hour,100%,100%,1,1125,306,4.87,3.15,2,2,0,0
4448604,Private & Cozy Mini Suite - 2 miles from downtown,40.0,2023-03-19,f,Entire home/apt,4,1.0,2.0,"[""Shampoo"", ""Coffee"", ""Hair dryer"", ""Coffee maker"", ""Cleaning products"", ""Extra pillows and blankets"", ""Crib"", ""Dishes and silverware"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Dining table"", ""Refrigerator"", ""Board games"", ""Keypad"", ""Shared backyard \u2013 Not fully fenced"", ""Free dryer \u2013 In unit"", ""Luggage dropoff allowed"", ""Body soap"", ""Carbon monoxide alarm"", ""EV charger"", ""Conditioner"", ""Window AC unit"", ""Dedicated workspace"", ""Hangers"", ""24\"" HDTV with Amazon Prime Video, Netflix, Hulu, Fire TV"", ""Hot water kettle"", ""Microwave"", ""Clothing storage: closet"", ""Portable fans"", ""Fast wifi \u2013 216 Mbps"", ""Outdoor furniture"", ""Long term stays allowed"", ""Toaster"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Heating - split type ductless system"", ""Wine glasses"", ""First aid kit"", ""Self check-in"", ""Babysitter recommendations"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Bed linens"", ""Free washer \u2013 In unit"", ""Iron""]",35.622231,-82.561401,Entire guest suite,5656896,2013-03-27,"Asheville, NC",within an hour,100%,99%,1,60,511,4.77,5.51,2,2,0,0
4515772,Views of Downtown and Mountains,200.0,2023-03-19,f,Entire home/apt,2,2.0,2.0,"[""Electric stove"", ""Hair dryer"", ""Coffee maker"", ""BBQ grill: charcoal"", ""Cleaning products"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Dining table"", ""Refrigerator"", ""City skyline view"", ""TV"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Body soap"", ""Carbon monoxide alarm"", ""Blender"", ""Hangers"", ""Microwave"", ""Long term stays allowed"", ""Hot water"", ""Cleaning available during stay"", ""Bathtub"", ""Kitchen"", ""Ceiling fan"", ""Outdoor dining area"", ""Smoke alarm"", ""Mountain view"", ""Oven"", ""Clothing storage"", ""Backyard"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Free washer \u2013 In unit"", ""Iron""]",35.59191,-82.54488,Entire home,17363326,2014-06-28,"Fletcher, NC",within a few hours,100%,86%,30,1125,75,4.79,0.74,2,2,0,0
4587394,Urbane Retreat Cabin In town Asheville 90 DAYS,75.0,2023-03-19,t,Entire home/apt,2,1.0,1.0,"[""Shampoo"", ""Electric stove"", ""Private backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Coffee maker: Keurig coffee machine"", ""Cleaning products"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Pets allowed"", ""Cooking basics"", ""Indoor fireplace: gas"", ""Dishes and silverware"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Garden view"", ""Refrigerator"", ""Dining table"", ""Barbecue utensils"", ""42\"" HDTV with Amazon Prime Video, Fire TV, Netflix"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Luggage dropoff allowed"", ""Body soap"", ""Carbon monoxide alarm"", ""Conditioner"", ""Dedicated workspace"", ""Hangers"", ""Central air conditioning"", ""Hot water kettle"", ""Microwave"", ""Security cameras on property"", ""Outdoor furniture"", ""Long term stays allowed"", ""Toaster"", ""Hot water"", ""Room-darkening shades"", ""Kitchen"", ""Wine glasses"", ""First aid kit"", ""Ceiling fan"", ""Self check-in"", ""Lockbox"", ""Outdoor dining area"", ""Ethernet connection"", ""Smoke alarm"", ""Baking sheet"", ""BBQ grill"", ""Clothing storage: wardrobe, closet, and dresser"", ""Oven"", ""Single level home"", ""Bed linens"", ""Heating"", ""Free washer \u2013 In unit"", ""Iron""]",35.58712,-82.49266,Entire cabin,16339042,2014-06-03,"Asheville, NC",within an hour,100%,100%,90,1125,160,4.94,1.59,1,1,0,0
4764715,West Asheville Green Getaway !,90.0,2023-03-19,f,Entire home/apt,2,1.0,1.0,"[""Coffee"", ""Private backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Cleaning products"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Zum goat milk soap bars body soap"", ""Free street parking"", ""Essentials"", ""Single level home"", ""Full size Kenmore refrigerator"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Garden view"", ""Coffee maker: pour-over coffee"", ""Dining table"", ""Shower gel"", ""I provide natural products bought from whole foods. shampoo"", ""Drying rack for clothing"", ""I provide natural products bought from whole foods. conditioner"", ""Stainless steel electric stove"", ""Wifi"", ""Luggage dropoff allowed"", ""Radiant heating"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Blender"", ""Hangers"", ""Central air conditioning"", ""Hot water kettle"", ""Microwave"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central heating"", ""Hot water"", ""Toaster"", ""Bathtub"", ""Kitchen"", ""Wine glasses"", ""First aid kit"", ""Ceiling fan"", ""Self check-in"", ""Lockbox"", ""Free washer \u2013 In building"", ""Mini fridge"", ""Clothing storage: wardrobe, closet, dresser, and walk-in closet"", ""Smoke alarm"", ""Mountain view"", ""Baking sheet"", ""Rice maker"", ""Free dryer \u2013 In building"", ""Oven"", ""Dishwasher"", ""Laundromat nearby"", ""Bed linens"", ""Outdoor dining area"", ""32\"" HDTV with Amazon Prime Video, Netflix, Roku"", ""Iron""]",35.57246,-82.57321,Entire rental unit,3441402,2012-09-01,"Asheville, NC",within an hour,100%,99%,28,90,501,4.94,5.01,2,2,0,0
4846733,"Chalet at Winghaven, Sunny Log Home",187.0,2023-03-19,t,Entire home/apt,8,3.0,6.0,"[""Electric stove"", ""Coffee"", ""Private backyard \u2013 Not fully fenced"", ""Hair dryer"", ""High chair"", ""Cleaning products"", ""Extra pillows and blankets"", ""Plaine Products body soap"", ""Private patio or balcony"", ""Pets allowed"", ""Cooking basics"", ""Outlet covers"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Fire extinguisher"", ""Freezer"", ""Dining table"", ""Refrigerator"", ""Shower gel"", ""BBQ grill: gas"", ""Barbecue utensils"", ""Keypad"", ""Free dryer \u2013 In unit"", ""Plaine Products shampoo"", ""Children\u2019s books and toys"", ""Indoor fireplace: wood-burning"", ""Wifi"", ""Free driveway parking on premises"", ""Carbon monoxide alarm"", ""Baby monitor"", ""Baby safety gates"", ""Blender"", ""Hangers"", ""Central air conditioning"", ""Hot water kettle"", ""Microwave"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central heating"", ""Hot water"", ""Room-darkening shades"", ""Toaster"", ""Bathtub"", ""Kitchen"", ""Fire pit"", ""Plaine Products conditioner"", ""First aid kit"", ""Ceiling fan"", ""Wine glasses"", ""Self check-in"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Smoke alarm"", ""Mountain view"", ""Baking sheet"", ""Children\u2019s dinnerware"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""Dishwasher"", ""Bed linens"", ""Outdoor dining area"", ""TV with standard cable"", ""Free washer \u2013 In unit"", ""Iron"", ""Clothing storage: closet, dresser, and walk-in closet""]",35.4456,-82.46756,Entire cabin,24938934,2014-12-17,"Fletcher, NC",within an hour,100%,100%,2,1125,153,4.95,1.59,2,2,0,0
4895765,Beautiful Kenilworth Jewel,91.0,2023-03-19,t,Entire home/apt,5,1.0,1.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Private patio or balcony"", ""Dishes and silverware"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Fire extinguisher"", ""Shower gel"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Luggage dropoff allowed"", ""Body soap"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Dedicated workspace"", ""Conditioner"", ""Hangers"", ""Microwave"", ""Outdoor furniture"", ""Long term stays allowed"", ""Smart lock"", ""Hot water"", ""Room-darkening shades"", ""Wine glasses"", ""First aid kit"", ""Ceiling fan"", ""Self check-in"", ""Outdoor dining area"", ""Mini fridge"", ""Smoke alarm"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Iron""]",35.57424,-82.53288,Entire rental unit,5035186,2013-02-10,"Asheville, NC",within an hour,100%,98%,2,65,649,4.93,6.57,1,1,0,0
4931736,"Cozy Cottage, walk West Asheville",106.0,2023-03-19,t,Entire home/apt,2,1.0,1.0,"[""Hangers"", ""Refrigerator"", ""Essentials"", ""Shampoo"", ""TV"", ""Hair dryer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Dryer"", ""Private entrance"", ""Dishes and silverware"", ""Heating"", ""Air conditioning"", ""Washer"", ""Iron"", ""Free parking on premises""]",35.58165,-82.59795,Entire home,25406174,2014-12-30,"Asheville, NC",,,100%,30,1125,63,4.94,0.65,1,1,0,0
4994407,Amazing Asheville Location VIEWS!,236.0,2023-03-19,t,Entire home/apt,6,3.0,4.0,"[""Hair dryer"", ""Coffee maker"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""Hot tub"", ""Stove"", ""Wifi"", ""Patio or balcony"", ""Hot water"", ""Kitchen"", ""Indoor fireplace"", ""Self check-in"", ""Lockbox"", ""Smoke alarm"", ""Mountain view"", ""Oven"", ""Dishwasher"", ""Heating"", ""TV with standard cable"", ""Iron""]",35.62464,-82.52114,Entire cabin,25749896,2015-01-07,,within a day,100%,79%,3,1125,252,4.8,2.54,1,1,0,0
5114762,West Asheville Classic,171.0,2023-03-19,f,Entire home/apt,6,2.0,3.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker: Keurig coffee machine"", ""Extra pillows and blankets"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Shower gel"", ""Wifi"", ""Luggage dropoff allowed"", ""Body soap"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hangers"", ""Patio or balcony"", ""Hot water"", ""Bathtub"", ""First aid kit"", ""Host greets you"", ""Mini fridge"", ""Smoke alarm"", ""Laundromat nearby"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Iron""]",35.58072,-82.59573,Entire guest suite,21362898,2014-09-15,"Asheville, NC",within a day,100%,95%,1,1,597,4.93,6.05,1,1,0,0
5151226,Convenient to Everything! Private,325.0,2023-03-19,f,Entire home/apt,10,3.0,6.0,"[""Shampoo"", ""Private backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Coffee maker"", ""High chair"", ""Cleaning products"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Clothing storage: closet and dresser"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Freezer"", ""Dining table"", ""Refrigerator"", ""Board games"", ""Barbecue utensils"", ""Keypad"", ""Stove"", ""Wifi"", ""Body soap"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Baby safety gates"", ""Hangers"", ""Hot water kettle"", ""Microwave"", ""Outdoor furniture"", ""Toaster"", ""Hot water"", ""Bathtub"", ""Kitchen"", ""Fire pit"", ""Indoor fireplace"", ""First aid kit"", ""Ceiling fan"", ""Wine glasses"", ""Self check-in"", ""Outdoor dining area"", ""Smoke alarm"", ""Baking sheet"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""Dishwasher"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Iron""]",35.60858,-82.48867,Entire home,4117051,2012-11-11,"Asheville, NC",within an hour,100%,100%,3,31,123,4.99,1.32,3,3,0,0
5333015,"Griffin's Lair  Biltmore Village, NC 28803",236.0,2023-03-19,f,Entire home/apt,5,1.0,3.0,"[""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Body soap"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hangers"", ""Microwave"", ""Patio or balcony"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hot water"", ""Kitchen"", ""First aid kit"", ""Self check-in"", ""Lockbox"", ""Outdoor dining area"", ""Smoke alarm"", ""Oven"", ""Dishwasher"", ""Backyard"", ""Bed linens"", ""Heating"", ""Air conditioning"", ""Iron""]",35.56642,-82.54681,Entire guesthouse,27580922,2015-02-11,"Asheville, NC",within a few hours,100%,80%,2,1124,105,4.93,1.09,1,1,0,0
5336187,Parklike Setting,49.0,2023-03-19,f,Entire home/apt,2,1.0,1.0,"[""Fire extinguisher"", ""Air conditioning"", ""Essentials"", ""Shampoo"", ""Free street parking"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Dryer"", ""Indoor fireplace"", ""Pool"", ""Heating"", ""TV with standard cable"", ""Washer"", ""Host greets you"", ""Free parking on premises""]",35.46994,-82.55996,Entire rental unit,27654072,2015-02-12,"Asheville, NC",within a few hours,67%,0%,30,120,1,5.0,0.01,1,1,0,0
5344892,Peaceful Mountainside Living,102.0,2023-03-19,f,Private room,2,1.0,1.0,"[""Shampoo"", ""Coffee"", ""Hair dryer"", ""Coffee maker"", ""Private patio or balcony"", ""Dryer"", ""Dishes and silverware"", ""Private living room"", ""Essentials"", ""Washer"", ""Free parking on premises"", ""Fire extinguisher"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Wifi"", ""Body soap"", ""Carbon monoxide alarm"", ""Hangers"", ""Microwave"", ""Outdoor furniture"", ""Hot water"", ""Fire pit"", ""First aid kit"", ""Lock on bedroom door"", ""Smoke alarm"", ""Mountain view"", ""Backyard"", ""Heating"", ""Air conditioning"", ""Iron""]",35.62436,-82.49177,Private room in home,5912974,2013-04-13,"Asheville, NC",within an hour,100%,100%,2,14,191,4.97,2.26,1,0,1,0
5464591,Artsy/Zen Bungalow in W. Asheville!,200.0,2023-03-19,t,Entire home/apt,6,2.0,3.0,"[""Shampoo"", ""Coffee"", ""Hair dryer"", ""Coffee maker"", ""High chair"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Outlet covers"", ""Dishes and silverware"", ""Clothing storage: closet and dresser"", ""Private entrance"", ""Free street parking"", ""Essentials"", ""Single level home"", ""Free parking on premises"", ""Fire extinguisher"", ""Air conditioning"", ""Freezer"", ""Refrigerator"", ""Dining table"", ""Shower gel"", ""Board games"", ""Keypad"", ""Sound system"", ""Stove"", ""Children\u2019s books and toys"", ""Wifi"", ""Body soap"", ""Carbon monoxide alarm"", ""Blender"", ""Hangers"", ""Hot water kettle"", ""Microwave"", ""Books and reading material"", ""Patio or balcony"", ""Outdoor furniture"", ""Long term stays allowed"", ""Toaster"", ""Hot water"", ""Room-darkening shades"", ""Backyard"", ""Bathtub"", ""Kitchen"", ""Wine glasses"", ""First aid kit"", ""Ceiling fan"", ""Self check-in"", ""Outdoor dining area"", ""Smoke alarm"", ""Baking sheet"", ""Children\u2019s dinnerware"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""Dishwasher"", ""Laundromat nearby"", ""Bed linens"", ""Heating"", ""TV with standard cable"", ""Iron"", ""Pocket wifi""]",35.5751,-82.59686,Entire bungalow,28342264,2015-02-25,"Asheville, NC",within an hour,100%,100%,1,1125,277,4.9,2.85,1,1,0,0
